t, tm
7.810084, -0.018846
7.820084, -0.019074
7.830084, -0.019300
7.840085, -0.019525
7.850085, -0.019748
7.860085, -0.019970
7.870085, -0.020190
7.880085, -0.020408
7.890086, -0.020625
7.900086, -0.020839
7.910086, -0.021052
7.920086, -0.021263
7.930087, -0.021473
7.940087, -0.021680
7.950087, -0.021886
7.960087, -0.022090
7.970088, -0.022291
7.980088, -0.022491
7.990088, -0.022689
8.000088, -0.022884
8.010088, -0.023078
8.020088, -0.023270
8.030088, -0.023459
8.040089, -0.023646
8.050089, -0.023831
8.060089, -0.024014
8.070089, -0.024195
8.080090, -0.024374
8.090090, -0.024550
8.100090, -0.024723
8.110090, -0.024895
8.120090, -0.025064
8.130091, -0.025231
8.140091, -0.025395
8.150091, -0.025557
8.160091, -0.025716
8.170092, -0.025873
8.180092, -0.026028
8.190092, -0.026179
8.200092, -0.026329
8.210093, -0.026475
8.220093, -0.026619
8.230093, -0.026761
8.240093, -0.026899
8.250093, -0.027035
8.260094, -0.027168
8.270094, -0.027299
8.280094, -0.027427
8.290094, -0.027551
8.300095, -0.027674
8.310095, -0.027793
8.320095, -0.027909
8.330095, -0.028022
8.340096, -0.028133
8.350096, -0.028240
8.360096, -0.028345
8.370096, -0.028447
8.380096, -0.028545
8.390097, -0.028641
8.400097, -0.028733
8.410097, -0.028822
8.420097, -0.028909
8.430098, -0.028992
8.440098, -0.029072
8.450098, -0.029149
8.460098, -0.029222
8.470098, -0.029293
8.480099, -0.029360
8.490099, -0.029424
8.500099, -0.029484
8.510099, -0.029542
8.520100, -0.029596
8.530100, -0.029647
8.540100, -0.029694
8.550100, -0.029738
8.560101, -0.029779
8.570101, -0.029816
8.580101, -0.029850
8.590101, -0.029881
8.600101, -0.029908
8.610102, -0.029931
8.620102, -0.029952
8.630102, -0.029968
8.640102, -0.029981
8.650103, -0.029991
8.660103, -0.029997
8.670103, -0.030000
8.680103, -0.029999
8.690104, -0.029994
8.700104, -0.029986
8.710104, -0.029975
8.720104, -0.029959
8.730104, -0.029941
8.740105, -0.029918
8.750105, -0.029892
8.760105, -0.029862
8.770105, -0.029829
8.780106, -0.029792
8.790106, -0.029751
8.800106, -0.029707
8.810106, -0.029659
8.820107, -0.029607
8.830107, -0.029552
8.840107, -0.029493
8.850107, -0.029430
8.860107, -0.029363
8.870108, -0.029293
8.880108, -0.029219
8.890108, -0.029142
8.900108, -0.029060
8.910109, -0.028975
8.920109, -0.028887
8.930109, -0.028794
8.940109, -0.028698
8.950109, -0.028598
8.960110, -0.028494
8.970110, -0.028387
8.980110, -0.028276
8.990110, -0.028161
9.000111, -0.028043
9.010111, -0.027920
9.020111, -0.027794
9.030111, -0.027665
9.040112, -0.027531
9.050112, -0.027394
9.060112, -0.027254
9.070112, -0.027109
